onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
24.05763636	n/a	n/a	famous_new	n/a	f101.bmp	5	famous	faces	1	0	0
25.06763636	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
27.38218182	n/a	n/a	unfamiliar_new	n/a	u013.bmp	13	unfamiliar	faces	1	0	0
29.17854545	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
30.57218182	n/a	n/a	unfamiliar_second_early	n/a	u013.bmp	14	unfamiliar	faces	2	1	3.19
32.08945455	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
33.69672727	n/a	n/a	scrambled_new	n/a	s038.bmp	17	scrambled	faces	1	0	0
35.07581818	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
36.88672727	n/a	n/a	scrambled_new	n/a	s001.bmp	17	scrambled	faces	1	0	0
38.50036364	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
40.06127273	n/a	n/a	scrambled_second_early	n/a	s001.bmp	18	scrambled	faces	2	1	3.1745
41.42036364	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
43.26854545	n/a	n/a	scrambled_new	n/a	s089.bmp	17	scrambled	faces	1	0	0
44.54127273	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
46.37581818	n/a	n/a	scrambled_second_early	n/a	s089.bmp	18	scrambled	faces	2	1	3.1073
47.51672727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
49.56581818	n/a	n/a	unfamiliar_new	n/a	u147.bmp	13	unfamiliar	faces	1	0	0
51.13036364	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
52.67309091	n/a	n/a	famous_second_late	n/a	f101.bmp	7	famous	faces	2	9	28.6155
53.99490909	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
55.79763636	n/a	n/a	scrambled_new	n/a	s088.bmp	17	scrambled	faces	1	0	0
58.09036364	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
58.93763636	n/a	n/a	scrambled_new	n/a	s098.bmp	17	scrambled	faces	1	0	0
60.48309091	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
62.17854545	n/a	n/a	scrambled_second_early	n/a	s098.bmp	18	scrambled	faces	2	1	3.2409
63.404	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
65.40309091	n/a	n/a	scrambled_second_late	n/a	s038.bmp	19	scrambled	faces	2	10	31.7064
66.67581818	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
68.57672727	n/a	n/a	famous_new	n/a	f142.bmp	5	famous	faces	1	0	0
69.94945455	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
71.834	n/a	n/a	scrambled_new	n/a	s085.bmp	17	scrambled	faces	1	0	0
73.42127273	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
75.02581818	n/a	n/a	scrambled_second_early	n/a	s085.bmp	18	scrambled	faces	2	1	3.1918
76.58218182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
78.24945455	n/a	n/a	scrambled_new	n/a	s131.bmp	17	scrambled	faces	1	0	0
80.45672727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
81.59036364	n/a	n/a	unfamiliar_second_late	n/a	u147.bmp	15	unfamiliar	faces	2	10	32.0245
83.39945455	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
84.83127273	n/a	n/a	famous_new	n/a	f052.bmp	5	famous	faces	1	0	0
86.16672727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
87.95490909	n/a	n/a	famous_second_early	n/a	f052.bmp	6	famous	faces	2	1	3.1236
88.95490909	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
91.14581818	n/a	n/a	scrambled_second_late	n/a	s088.bmp	19	scrambled	faces	2	11	35.3482
