name	x	y	z
EEG001	-6.80	3.76	1.79
EEG002	9.82	0.53	4.68
EEG003	-6.60	-4.39	1.43
EEG004	7.30	5.29	4.12
EEG005	8.24	3.42	6.74
EEG006	8.71	0.17	8.04
EEG007	8.49	-2.95	7.15
EEG008	7.91	-4.82	4.31
EEG009	5.50	6.32	4.33
EEG010	5.94	5.57	6.50
EEG011	6.24	4.33	8.31
EEG012	6.31	2.29	9.86
EEG013	6.62	0.05	10.17
EEG014	5.92	-2.50	9.98
EEG015	6.00	-4.27	8.70
EEG016	6.06	-5.49	6.65
EEG017	5.43	-6.16	4.20
EEG018	2.53	6.48	1.24
EEG019	2.90	6.60	3.88
EEG020	3.24	6.16	6.73
EEG021	3.36	4.44	9.37
EEG022	3.09	1.67	11.56
EEG023	2.65	-0.06	11.91
EEG024	2.49	-3.05	11.27
EEG025	2.92	-5.30	9.56
EEG026	3.07	-6.71	6.99
EEG027	2.95	-7.22	4.32
EEG028	3.01	-7.17	0.83
EEG029	0.93	7.31	1.60
EEG030	0.13	7.30	4.15
EEG031	0.15	6.95	7.50
EEG032	-0.18	5.41	10.33
EEG033	-0.32	2.74	12.06
EEG034	-0.71	-0.33	12.61
EEG035	-0.60	-3.15	11.96
EEG036	-0.25	-5.81	10.18
EEG037	0.10	-7.34	7.32
EEG038	0.13	-7.58	4.03
EEG039	1.46	-6.91	1.11
EEG040	-3.18	6.42	1.07
EEG041	-2.68	6.80	4.37
EEG042	-2.88	6.61	7.65
EEG043	-2.94	5.19	10.22
EEG044	-3.22	2.34	12.01
EEG045	-3.78	-0.55	12.17
EEG046	-3.74	-3.24	11.42
EEG047	-3.33	-5.66	9.69
EEG048	-2.84	-7.02	7.25
EEG049	-2.90	-7.05	3.88
EEG050	-2.66	-6.61	0.94
EEG051	-5.06	5.20	1.65
EEG052	-5.00	5.68	4.79
EEG053	-5.22	5.31	7.11
EEG054	-5.71	3.85	8.99
EEG055	-5.74	1.43	10.18
EEG056	-6.26	-0.55	10.25
EEG057	-5.82	-2.89	10.09
EEG058	-5.76	-4.63	8.62
EEG059	-5.25	-6.02	6.47
EEG060	-4.94	-6.24	4.20
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-4.84	-5.83	1.07
EEG066	-6.86	4.02	4.85
EEG067	-7.35	2.34	7.34
EEG068	-7.78	-0.42	7.45
EEG069	-7.45	-3.47	6.83
EEG070	-6.91	-4.80	4.49
EEG071	-8.07	1.97	4.88
EEG072	-8.40	-0.38	4.41
EEG073	-8.06	-3.18	4.54
EEG074	-8.07	-0.35	1.22
