onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
25.11218182	n/a	n/a	famous_new	n/a	f074.bmp	5	famous	faces	1	0	0
26.02218182	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
28.16945455	n/a	n/a	unfamiliar_new	n/a	u011.bmp	13	unfamiliar	faces	1	0	0
29.10763636	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
31.32672727	n/a	n/a	scrambled_new	n/a	s036.bmp	17	scrambled	faces	1	0	0
32.29127273	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
34.434	n/a	n/a	famous_new	n/a	f112.bmp	5	famous	faces	1	0	0
35.01672727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
37.77490909	n/a	n/a	famous_second_early	n/a	f112.bmp	6	famous	faces	2	1	3.3409
38.32309091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
40.96581818	n/a	n/a	unfamiliar_new	n/a	u066.bmp	13	unfamiliar	faces	1	0	0
41.55036364	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
44.27309091	n/a	n/a	unfamiliar_second_early	n/a	u066.bmp	14	unfamiliar	faces	2	1	3.3073
44.74127273	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
47.34672727	n/a	n/a	unfamiliar_new	n/a	u113.bmp	13	unfamiliar	faces	1	0	0
47.95309091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
50.504	n/a	n/a	unfamiliar_second_early	n/a	u113.bmp	14	unfamiliar	faces	2	1	3.1573
51.25309091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
53.57854545	n/a	n/a	famous_second_late	n/a	f074.bmp	7	famous	faces	2	9	28.4664
54.26581818	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
56.65218182	n/a	n/a	scrambled_new	n/a	s100.bmp	17	scrambled	faces	1	0	0
57.60672727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
59.77581818	n/a	n/a	scrambled_second_early	n/a	s100.bmp	18	scrambled	faces	2	1	3.1236
60.31127273	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
62.93309091	n/a	n/a	unfamiliar_second_late	n/a	u011.bmp	15	unfamiliar	faces	2	11	34.7636
63.65127273	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
66.15672727	n/a	n/a	unfamiliar_new	n/a	u069.bmp	13	unfamiliar	faces	1	0	0
67.224	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
69.36490909	n/a	n/a	unfamiliar_second_early	n/a	u069.bmp	14	unfamiliar	faces	2	1	3.2082
69.90127273	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
72.38854545	n/a	n/a	scrambled_second_late	n/a	s036.bmp	19	scrambled	faces	2	13	41.0618
73.46036364	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
75.62854545	n/a	n/a	famous_new	n/a	f039.bmp	5	famous	faces	1	0	0
76.364	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
78.95309091	n/a	n/a	famous_new	n/a	f020.bmp	5	famous	faces	1	0	0
79.66036364	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
82.16036364	n/a	n/a	famous_new	n/a	f101.bmp	5	famous	faces	1	0	0
82.73490909	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
85.36854545	n/a	n/a	scrambled_new	n/a	s058.bmp	17	scrambled	faces	1	0	0
86.04490909	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
88.45854545	n/a	n/a	scrambled_second_early	n/a	s058.bmp	18	scrambled	faces	2	1	3.09
89.00854545	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
91.83309091	n/a	n/a	unfamiliar_new	n/a	u061.bmp	13	unfamiliar	faces	1	0	0
92.42036364	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
94.92309091	n/a	n/a	unfamiliar_second_early	n/a	u061.bmp	14	unfamiliar	faces	2	1	3.09
95.49763636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
98.114	n/a	n/a	famous_new	n/a	f105.bmp	5	famous	faces	1	0	0
98.664	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
101.3549091	n/a	n/a	famous_second_late	n/a	f039.bmp	7	famous	faces	2	8	25.7264
102.0012727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
104.4621818	n/a	n/a	famous_new	n/a	f138.bmp	5	famous	faces	1	0	0
105.174	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
107.5030909	n/a	n/a	famous_second_late	n/a	f020.bmp	7	famous	faces	2	9	28.55
108.3212727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
110.7930909	n/a	n/a	famous_new	n/a	f064.bmp	5	famous	faces	1	0	0
111.4694545	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
113.8503636	n/a	n/a	famous_second_early	n/a	f064.bmp	6	famous	faces	2	1	3.0573
114.4012727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
116.9249091	n/a	n/a	famous_second_late	n/a	f101.bmp	7	famous	faces	2	11	34.7645
117.5776364	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
120.0985455	n/a	n/a	unfamiliar_new	n/a	u127.bmp	13	unfamiliar	faces	1	0	0
120.6767273	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
123.2385455	n/a	n/a	scrambled_new	n/a	s103.bmp	17	scrambled	faces	1	0	0
124.2576364	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
126.3621818	n/a	n/a	unfamiliar_new	n/a	u143.bmp	13	unfamiliar	faces	1	0	0
126.9703636	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
129.5367273	n/a	n/a	famous_second_late	n/a	f105.bmp	7	famous	faces	2	10	31.4227
130.1376364	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
132.7603636	n/a	n/a	famous_new	n/a	f119.bmp	5	famous	faces	1	0	0
133.3494545	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
135.9012727	n/a	n/a	famous_second_early	n/a	f119.bmp	6	famous	faces	2	1	3.1409
136.4494545	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
