name	x	y	z
EEG001	-7.10	4.33	2.49
EEG002	10.56	0.12	4.43
EEG003	-7.44	-4.14	2.30
EEG004	8.41	5.11	4.22
EEG005	9.42	3.17	6.41
EEG006	9.86	-0.13	7.38
EEG007	9.43	-3.41	6.38
EEG008	8.54	-5.11	3.57
EEG009	5.98	6.14	4.08
EEG010	6.80	5.59	6.32
EEG011	7.23	4.45	8.17
EEG012	7.51	2.24	9.65
EEG013	7.58	-0.29	10.22
EEG014	7.36	-2.83	9.58
EEG015	7.06	-4.68	8.27
EEG016	6.86	-5.93	6.14
EEG017	5.70	-6.39	3.89
EEG018	2.87	6.54	1.29
EEG019	3.55	6.78	4.39
EEG020	4.07	6.48	7.10
EEG021	4.35	4.99	9.54
EEG022	4.64	2.77	11.14
EEG023	4.73	-0.31	12.02
EEG024	4.57	-3.34	11.14
EEG025	4.07	-5.58	9.52
EEG026	3.69	-7.06	6.62
EEG027	3.04	-7.21	3.96
EEG028	3.14	-6.77	1.00
EEG029	0.99	6.76	1.30
EEG030	0.55	7.16	4.32
EEG031	1.14	7.01	7.85
EEG032	1.31	5.58	10.43
EEG033	1.53	3.17	12.18
EEG034	1.23	-0.14	13.15
EEG035	1.44	-3.40	12.14
EEG036	1.11	-5.71	10.45
EEG037	0.92	-7.24	7.66
EEG038	0.45	-7.43	4.53
EEG039	1.05	-7.13	1.31
EEG040	-2.97	6.68	1.54
EEG041	-2.33	6.86	4.55
EEG042	-1.91	6.74	7.86
EEG043	-1.67	5.38	10.55
EEG044	-2.04	3.27	12.14
EEG045	-2.47	-0.05	13.06
EEG046	-2.03	-3.62	12.27
EEG047	-2.03	-5.65	10.46
EEG048	-2.01	-6.96	8.03
EEG049	-2.67	-7.12	4.53
EEG050	-3.12	-7.13	1.27
EEG051	-5.21	5.60	2.00
EEG052	-4.76	5.93	5.34
EEG053	-4.60	5.54	7.88
EEG054	-4.75	4.19	9.92
EEG055	-4.92	2.89	11.52
EEG056	-5.37	0.28	11.74
EEG057	-4.58	-3.03	11.11
EEG058	-4.89	-4.54	9.69
EEG059	-4.83	-5.69	7.40
EEG060	-5.13	-6.08	4.92
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-5.43	-5.86	1.75
EEG066	-6.79	4.35	5.99
EEG067	-6.79	3.15	8.32
EEG068	-7.07	-0.17	8.81
EEG069	-6.96	-3.02	8.25
EEG070	-7.10	-4.34	5.58
EEG071	-8.21	2.66	6.12
EEG072	-8.75	0.02	5.94
EEG073	-8.41	-2.55	5.96
EEG074	-9.16	0.04	2.75
