name	x	y	z
EEG001	-4.62	-7.10	2.51
EEG002	0.05	10.26	4.17
EEG003	4.03	-7.70	2.08
EEG004	-5.09	7.96	3.88
EEG005	-3.05	8.86	6.32
EEG006	0.33	9.09	7.47
EEG007	3.54	8.64	6.54
EEG008	5.48	7.85	3.77
EEG009	-6.25	6.08	3.91
EEG010	-5.66	6.62	5.85
EEG011	-4.26	7.02	7.92
EEG012	-2.09	7.19	9.28
EEG013	0.26	7.23	9.73
EEG014	3.00	6.73	9.42
EEG015	4.56	6.29	8.45
EEG016	6.02	6.13	6.49
EEG017	6.83	5.36	4.02
EEG018	-7.32	2.95	1.32
EEG019	-7.26	3.45	4.08
EEG020	-6.82	3.84	6.78
EEG021	-5.06	4.11	9.18
EEG022	-3.13	4.21	10.67
EEG023	-0.33	4.14	11.36
EEG024	2.96	3.34	11.27
EEG025	5.28	3.08	9.56
EEG026	6.93	3.10	6.92
EEG027	7.51	2.83	4.51
EEG028	7.33	2.88	1.35
EEG029	-7.53	1.32	1.37
EEG030	-7.70	0.65	4.26
EEG031	-7.20	1.04	7.53
EEG032	-5.23	1.04	10.25
EEG033	-2.51	0.77	12.17
EEG034	-0.01	0.31	12.76
EEG035	3.04	0.25	12.00
EEG036	5.42	0.15	10.21
EEG037	7.03	-0.03	7.45
EEG038	7.75	-0.09	4.12
EEG039	7.45	0.88	1.39
EEG040	-6.95	-2.89	1.85
EEG041	-7.05	-2.20	4.84
EEG042	-6.58	-1.99	7.99
EEG043	-5.03	-1.89	10.39
EEG044	-3.06	-2.07	12.00
EEG045	0.11	-2.73	12.17
EEG046	2.89	-2.68	11.75
EEG047	5.00	-2.66	9.98
EEG048	6.34	-2.63	7.65
EEG049	6.62	-3.06	4.45
EEG050	6.49	-3.52	1.59
EEG051	-5.92	-5.11	2.28
EEG052	-6.14	-4.61	5.52
EEG053	-5.49	-4.52	7.83
EEG054	-4.05	-4.59	9.62
EEG055	-2.28	-4.67	10.81
EEG056	0.11	-5.16	10.57
EEG057	2.47	-5.01	10.26
EEG058	4.05	-5.29	9.18
EEG059	5.21	-5.21	7.07
EEG060	5.48	-5.27	4.84
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	5.35	-5.62	1.98
EEG066	-4.69	-6.74	5.89
EEG067	-2.82	-6.70	8.26
EEG068	-0.11	-7.46	8.76
EEG069	2.85	-7.35	8.09
EEG070	4.22	-7.27	5.53
EEG071	-2.73	-8.03	6.10
EEG072	-0.13	-8.62	5.80
EEG073	2.65	-8.37	5.68
EEG074	-0.39	-8.56	2.45
