name	x	y	z
EEG001	-6.62	4.17	1.68
EEG002	10.83	-0.46	3.59
EEG003	-7.31	-4.20	1.86
EEG004	8.61	4.67	3.37
EEG005	9.79	2.51	6.06
EEG006	10.16	-0.67	7.18
EEG007	9.21	-3.86	6.14
EEG008	7.94	-5.64	3.24
EEG009	6.46	5.75	3.92
EEG010	7.19	5.04	6.42
EEG011	7.59	3.60	8.18
EEG012	7.70	1.60	9.66
EEG013	7.92	-0.57	10.03
EEG014	7.28	-3.18	9.54
EEG015	7.10	-5.00	7.76
EEG016	6.48	-6.19	5.82
EEG017	5.54	-6.80	3.41
EEG018	3.26	6.75	1.14
EEG019	3.87	6.68	4.33
EEG020	4.40	6.08	7.08
EEG021	4.61	4.63	9.42
EEG022	4.74	2.49	10.98
EEG023	4.85	-0.40	11.55
EEG024	4.47	-3.40	10.89
EEG025	3.68	-5.64	9.40
EEG026	3.45	-7.16	6.96
EEG027	2.78	-7.79	4.35
EEG028	2.45	-7.67	0.78
EEG029	1.30	6.73	1.17
EEG030	0.92	7.23	4.38
EEG031	1.35	6.65	7.71
EEG032	1.28	5.23	10.10
EEG033	1.16	2.81	11.80
EEG034	1.09	-0.05	12.76
EEG035	0.65	-3.18	11.84
EEG036	0.66	-5.70	10.38
EEG037	0.42	-7.61	7.71
EEG038	0.04	-8.25	4.44
EEG039	0.58	-7.67	1.03
EEG040	-2.74	6.58	1.10
EEG041	-1.93	7.03	4.35
EEG042	-1.94	6.51	7.64
EEG043	-1.97	5.06	10.07
EEG044	-2.05	2.61	11.71
EEG045	-2.87	-0.22	12.30
EEG046	-2.51	-3.07	11.82
EEG047	-2.80	-5.54	10.19
EEG048	-2.88	-7.12	7.68
EEG049	-3.09	-7.57	4.58
EEG050	-3.69	-7.51	1.33
EEG051	-4.93	5.77	1.48
EEG052	-4.29	6.09	4.72
EEG053	-4.48	5.74	7.21
EEG054	-4.84	4.50	9.25
EEG055	-5.08	2.20	10.63
EEG056	-5.35	-0.03	11.00
EEG057	-5.03	-2.57	10.76
EEG058	-5.42	-4.44	9.48
EEG059	-5.40	-5.89	7.31
EEG060	-5.46	-6.33	5.00
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-5.58	-6.28	1.72
EEG066	-6.36	4.75	4.96
EEG067	-6.98	3.08	7.89
EEG068	-7.46	0.14	8.63
EEG069	-7.53	-3.13	8.10
EEG070	-7.52	-4.51	5.54
EEG071	-7.85	2.96	5.47
EEG072	-8.72	0.23	5.59
EEG073	-8.69	-2.25	5.71
EEG074	-8.30	-0.29	1.82
