name	x	y	z
EEG001	-7.73	4.06	3.85
EEG002	10.53	-0.01	3.76
EEG003	-7.75	-4.52	3.82
EEG004	7.96	4.69	3.27
EEG005	9.37	2.91	5.57
EEG006	10.15	-0.29	6.88
EEG007	9.41	-3.57	5.94
EEG008	8.10	-5.22	3.09
EEG009	5.60	5.90	3.66
EEG010	6.65	5.22	5.74
EEG011	7.30	4.16	7.57
EEG012	7.97	2.22	9.18
EEG013	7.77	-0.34	10.00
EEG014	7.42	-2.80	9.67
EEG015	7.05	-4.86	8.17
EEG016	6.61	-6.12	5.98
EEG017	5.35	-6.61	3.71
EEG018	2.32	6.49	1.19
EEG019	3.27	6.69	4.15
EEG020	4.20	6.17	6.71
EEG021	4.69	4.95	9.18
EEG022	5.08	2.62	10.81
EEG023	5.14	-0.17	11.71
EEG024	4.65	-3.16	11.28
EEG025	4.44	-5.60	9.70
EEG026	3.79	-7.08	7.08
EEG027	3.01	-7.54	4.52
EEG028	2.45	-7.06	1.33
EEG029	0.36	6.93	1.30
EEG030	0.33	7.07	4.65
EEG031	1.41	6.57	7.81
EEG032	1.92	5.13	10.34
EEG033	2.35	2.89	11.99
EEG034	1.63	-0.33	13.09
EEG035	1.85	-3.44	12.10
EEG036	1.43	-5.78	10.78
EEG037	0.98	-7.54	8.20
EEG038	0.18	-7.90	5.24
EEG039	0.50	-7.37	1.73
EEG040	-3.46	6.53	2.49
EEG041	-2.42	6.82	5.39
EEG042	-1.72	6.60	8.65
EEG043	-1.21	5.11	11.12
EEG044	-0.96	2.95	12.60
EEG045	-1.48	-0.06	13.40
EEG046	-1.26	-3.32	12.76
EEG047	-1.62	-5.95	11.39
EEG048	-2.03	-7.38	8.82
EEG049	-2.91	-7.58	5.63
EEG050	-3.57	-7.32	2.61
EEG051	-5.77	5.60	3.19
EEG052	-4.93	6.00	6.51
EEG053	-4.71	5.58	8.94
EEG054	-4.57	4.22	11.00
EEG055	-3.85	2.10	12.10
EEG056	-4.44	-0.27	12.63
EEG057	-4.03	-2.94	12.37
EEG058	-4.51	-4.90	11.09
EEG059	-4.89	-6.23	8.86
EEG060	-5.24	-6.47	6.47
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-5.85	-6.26	3.07
EEG066	-6.95	4.61	7.20
EEG067	-6.84	2.81	9.79
EEG068	-7.11	-0.13	10.38
EEG069	-6.92	-3.48	9.69
EEG070	-7.25	-4.77	7.10
EEG071	-8.27	2.48	7.58
EEG072	-8.69	-0.06	7.48
EEG073	-8.30	-2.72	7.41
EEG074	-9.14	-0.27	4.10
