name	x	y	z
EEG001	-6.78	4.99	3.15
EEG002	11.07	-0.21	3.11
EEG003	-6.68	-3.85	3.55
EEG004	8.69	4.87	2.71
EEG005	10.43	2.96	5.27
EEG006	10.92	-0.18	6.23
EEG007	10.48	-3.47	5.48
EEG008	8.84	-5.37	3.18
EEG009	6.56	5.92	3.09
EEG010	7.75	5.52	5.26
EEG011	8.34	4.50	7.22
EEG012	8.84	2.33	8.82
EEG013	9.16	0.00	9.42
EEG014	8.47	-2.24	9.46
EEG015	8.22	-4.60	7.87
EEG016	7.54	-5.93	6.07
EEG017	6.44	-6.46	3.68
EEG018	3.31	7.43	0.85
EEG019	4.16	6.57	3.50
EEG020	5.25	6.41	6.42
EEG021	5.74	5.25	8.98
EEG022	6.08	2.98	10.71
EEG023	5.93	0.15	11.57
EEG024	5.53	-2.77	11.14
EEG025	5.38	-5.28	9.62
EEG026	4.73	-6.94	7.06
EEG027	3.63	-7.30	4.39
EEG028	3.48	-6.94	1.19
EEG029	1.46	6.94	1.05
EEG030	1.49	7.30	4.29
EEG031	2.46	7.06	7.41
EEG032	2.87	5.99	10.14
EEG033	3.08	3.32	12.15
EEG034	2.82	0.36	12.95
EEG035	2.89	-2.88	12.36
EEG036	2.39	-5.25	10.88
EEG037	1.77	-7.07	8.10
EEG038	0.82	-7.52	4.70
EEG039	0.75	-7.11	1.36
EEG040	-2.69	7.24	1.91
EEG041	-1.59	7.30	5.19
EEG042	-0.71	6.94	8.25
EEG043	-0.18	5.80	10.95
EEG044	-0.05	3.49	12.75
EEG045	-0.57	0.45	13.43
EEG046	-0.39	-2.63	12.91
EEG047	-0.75	-5.15	11.12
EEG048	-1.01	-6.49	8.60
EEG049	-2.14	-6.82	5.47
EEG050	-2.73	-6.85	2.43
EEG051	-4.53	6.38	2.72
EEG052	-3.77	6.67	6.00
EEG053	-3.43	6.26	8.34
EEG054	-3.23	5.00	10.48
EEG055	-3.12	3.30	11.88
EEG056	-3.40	0.46	12.08
EEG057	-3.15	-2.15	11.94
EEG058	-3.42	-3.88	10.34
EEG059	-3.73	-5.06	8.27
EEG060	-4.50	-5.68	5.90
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-4.76	-5.56	3.04
EEG066	-5.68	5.50	6.60
EEG067	-5.53	3.80	9.31
EEG068	-5.74	0.59	9.84
EEG069	-5.45	-2.41	9.06
EEG070	-5.87	-3.79	6.60
EEG071	-6.99	3.35	7.06
EEG072	-7.50	0.53	6.99
EEG073	-7.07	-1.70	7.15
EEG074	-8.16	0.53	3.37
