onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
24.26672727	n/a	n/a	scrambled_new	n/a	s107.bmp	17	scrambled	faces	1	0	0
25.28036364	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
27.40672727	n/a	n/a	scrambled_second_early	n/a	s107.bmp	18	scrambled	faces	2	1	3.14
28.09763636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
30.49672727	n/a	n/a	famous_new	n/a	f150.bmp	5	famous	faces	1	0	0
31.27945455	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
33.73763636	n/a	n/a	famous_new	n/a	f046.bmp	5	famous	faces	1	0	0
34.454	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
36.94490909	n/a	n/a	unfamiliar_new	n/a	u112.bmp	13	unfamiliar	faces	1	0	0
37.66490909	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
40.15218182	n/a	n/a	unfamiliar_new	n/a	u054.bmp	13	unfamiliar	faces	1	0	0
41.02672727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
43.35945455	n/a	n/a	unfamiliar_second_early	n/a	u054.bmp	14	unfamiliar	faces	2	1	3.2073
44.06490909	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
46.50036364	n/a	n/a	unfamiliar_new	n/a	u017.bmp	13	unfamiliar	faces	1	0	0
47.244	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
49.77490909	n/a	n/a	unfamiliar_new	n/a	u138.bmp	13	unfamiliar	faces	1	0	0
50.45581818	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
52.96490909	n/a	n/a	unfamiliar_second_early	n/a	u138.bmp	14	unfamiliar	faces	2	1	3.19
53.89945455	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
56.02218182	n/a	n/a	famous_second_late	n/a	f150.bmp	7	famous	faces	2	8	25.5255
56.96581818	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
59.39672727	n/a	n/a	unfamiliar_new	n/a	u074.bmp	13	unfamiliar	faces	1	0	0
60.11672727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
62.554	n/a	n/a	famous_second_late	n/a	f046.bmp	7	famous	faces	2	9	28.8164
63.67763636	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
65.61127273	n/a	n/a	unfamiliar_new	n/a	u096.bmp	13	unfamiliar	faces	1	0	0
66.384	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
68.78490909	n/a	n/a	unfamiliar_second_late	n/a	u112.bmp	15	unfamiliar	faces	2	10	31.84
69.524	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
72.00945455	n/a	n/a	famous_new	n/a	f096.bmp	5	famous	faces	1	0	0
72.894	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
75.25036364	n/a	n/a	famous_second_early	n/a	f096.bmp	6	famous	faces	2	1	3.2409
75.98309091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
78.44036364	n/a	n/a	unfamiliar_new	n/a	u065.bmp	13	unfamiliar	faces	1	0	0
79.72036364	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
79.81218182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
81.64854545	n/a	n/a	unfamiliar_second_early	n/a	u065.bmp	14	unfamiliar	faces	2	1	3.2082
82.76581818	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
84.73854545	n/a	n/a	unfamiliar_second_late	n/a	u017.bmp	15	unfamiliar	faces	2	12	38.2382
85.65581818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
