name	x	y	z
EEG001	-4.57	-7.47	1.64
EEG002	0.01	9.69	4.89
EEG003	3.70	-7.62	1.20
EEG004	-5.12	7.31	4.26
EEG005	-3.10	8.09	6.83
EEG006	0.15	8.29	8.06
EEG007	3.27	7.68	7.04
EEG008	4.86	6.98	4.15
EEG009	-5.95	5.37	4.25
EEG010	-5.13	5.64	6.50
EEG011	-4.07	5.90	8.23
EEG012	-1.98	6.05	9.62
EEG013	0.30	5.95	10.08
EEG014	2.89	5.55	9.49
EEG015	4.38	5.25	8.41
EEG016	5.41	5.08	6.41
EEG017	5.96	4.48	3.87
EEG018	-6.94	2.70	1.27
EEG019	-6.90	2.76	4.12
EEG020	-6.24	3.09	6.85
EEG021	-5.07	3.08	9.11
EEG022	-2.79	3.10	10.75
EEG023	0.20	2.79	11.36
EEG024	2.98	1.99	10.77
EEG025	5.07	1.89	9.18
EEG026	6.58	2.07	6.39
EEG027	6.85	1.79	3.71
EEG028	6.69	2.26	0.78
EEG029	-6.91	0.90	1.08
EEG030	-7.33	0.12	3.98
EEG031	-6.97	0.08	7.28
EEG032	-5.36	0.00	9.92
EEG033	-2.82	-0.21	11.43
EEG034	-0.05	-1.01	11.94
EEG035	2.87	-0.96	11.39
EEG036	5.33	-1.04	9.64
EEG037	6.91	-0.93	6.88
EEG038	7.27	-1.00	3.44
EEG039	6.67	0.23	0.50
EEG040	-7.06	-3.09	1.20
EEG041	-7.07	-2.81	4.11
EEG042	-6.66	-2.78	7.22
EEG043	-5.30	-2.82	9.75
EEG044	-3.20	-3.36	11.25
EEG045	-0.05	-3.76	11.30
EEG046	2.83	-3.93	10.97
EEG047	5.15	-3.81	9.19
EEG048	6.30	-3.67	6.84
EEG049	6.58	-3.83	3.48
EEG050	6.30	-3.68	0.61
EEG051	-6.04	-5.30	1.64
EEG052	-6.28	-5.24	4.64
EEG053	-5.72	-5.52	6.86
EEG054	-4.44	-5.95	8.80
EEG055	-2.44	-5.79	10.01
EEG056	-0.09	-6.63	9.46
EEG057	2.52	-6.34	9.38
EEG058	4.10	-6.41	8.23
EEG059	5.18	-6.25	5.93
EEG060	5.49	-6.07	3.74
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	5.09	-5.78	0.91
EEG066	-5.02	-7.40	4.77
EEG067	-3.27	-7.84	7.35
EEG068	0.04	-8.26	7.47
EEG069	2.83	-8.13	6.64
EEG070	4.12	-7.89	4.24
EEG071	-3.19	-8.93	4.88
EEG072	-0.29	-9.60	4.60
EEG073	2.45	-9.10	4.35
EEG074	-0.79	-9.22	1.63
