name	x	y	z
EEG001	-7.18	4.74	0.40
EEG002	10.08	-0.06	4.88
EEG003	-7.28	-3.96	-0.35
EEG004	7.79	5.04	4.12
EEG005	8.48	2.99	6.81
EEG006	8.59	-0.35	8.03
EEG007	8.20	-3.40	6.89
EEG008	7.72	-5.18	4.04
EEG009	5.92	6.33	3.93
EEG010	6.10	5.44	6.12
EEG011	6.13	4.05	8.18
EEG012	5.97	1.95	9.63
EEG013	6.00	-0.24	10.15
EEG014	5.25	-2.74	9.74
EEG015	5.44	-4.62	8.19
EEG016	5.51	-5.83	6.07
EEG017	5.19	-6.75	3.63
EEG018	3.01	7.19	0.81
EEG019	3.21	7.29	3.70
EEG020	3.21	6.49	6.65
EEG021	2.97	4.89	8.99
EEG022	2.81	2.70	10.47
EEG023	2.08	-0.32	11.28
EEG024	1.92	-3.06	10.40
EEG025	2.13	-5.40	8.67
EEG026	2.43	-6.98	5.98
EEG027	2.45	-7.56	3.50
EEG028	2.96	-7.08	0.48
EEG029	1.25	7.25	0.76
EEG030	0.17	7.58	3.57
EEG031	0.00	7.00	6.87
EEG032	-0.36	5.65	9.31
EEG033	-0.54	2.44	10.70
EEG034	-1.24	-0.26	11.60
EEG035	-1.18	-3.11	10.66
EEG036	-0.95	-5.58	8.97
EEG037	-0.59	-7.11	6.06
EEG038	-0.12	-7.66	2.90
EEG039	1.10	-7.34	0.21
EEG040	-2.95	7.27	0.22
EEG041	-2.83	7.21	3.36
EEG042	-2.96	6.47	6.50
EEG043	-3.19	5.03	8.95
EEG044	-3.82	2.79	10.29
EEG045	-4.50	-0.38	10.69
EEG046	-4.20	-3.10	9.81
EEG047	-3.88	-5.37	8.19
EEG048	-3.37	-6.48	5.74
EEG049	-3.39	-6.93	2.43
EEG050	-3.27	-6.98	-0.46
EEG051	-5.31	6.16	0.23
EEG052	-5.36	6.25	3.51
EEG053	-5.56	5.45	5.77
EEG054	-5.95	4.05	7.54
EEG055	-6.13	2.15	8.92
EEG056	-6.57	-0.18	8.57
EEG057	-6.26	-2.55	8.21
EEG058	-6.23	-4.17	6.90
EEG059	-5.75	-5.44	4.74
EEG060	-5.53	-5.91	2.58
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-5.36	-5.67	-0.20
EEG066	-7.24	4.65	3.43
EEG067	-7.62	2.89	5.74
EEG068	-7.99	-0.10	5.79
EEG069	-7.93	-2.87	4.99
EEG070	-7.51	-4.17	2.65
EEG071	-8.33	2.67	3.37
EEG072	-8.82	0.11	2.98
EEG073	-8.56	-2.56	2.71
EEG074	-8.62	0.28	-0.38
