name	x	y	z
EEG001	-7.86	4.71	4.03
EEG002	9.76	0.14	4.98
EEG003	-8.41	-3.57	4.47
EEG004	7.17	4.85	4.28
EEG005	7.71	3.20	7.25
EEG006	8.39	-0.12	7.87
EEG007	7.59	-3.35	7.52
EEG008	6.74	-5.12	4.63
EEG009	5.05	5.83	4.20
EEG010	5.80	5.12	6.48
EEG011	6.11	3.93	8.22
EEG012	6.33	2.11	9.53
EEG013	6.71	-0.10	9.92
EEG014	5.87	-2.23	9.88
EEG015	5.47	-4.08	8.87
EEG016	5.16	-5.34	7.04
EEG017	4.46	-6.12	4.74
EEG018	2.14	6.41	1.38
EEG019	2.62	6.59	4.08
EEG020	2.94	6.17	7.04
EEG021	3.46	4.80	9.31
EEG022	3.98	2.96	10.83
EEG023	3.99	0.04	11.61
EEG024	3.20	-2.51	11.22
EEG025	2.64	-4.74	9.92
EEG026	2.30	-6.16	7.52
EEG027	1.70	-6.64	5.01
EEG028	1.57	-6.94	2.34
EEG029	0.37	6.87	1.77
EEG030	-0.35	7.22	4.32
EEG031	0.23	6.89	7.27
EEG032	0.78	5.57	10.00
EEG033	0.93	2.86	12.16
EEG034	0.46	0.43	12.93
EEG035	0.56	-2.46	12.49
EEG036	0.01	-5.07	10.76
EEG037	-0.72	-6.50	8.18
EEG038	-1.27	-6.73	5.16
EEG039	-0.29	-6.91	2.54
EEG040	-3.48	6.69	2.58
EEG041	-2.86	6.95	5.49
EEG042	-2.40	6.81	8.31
EEG043	-1.76	5.54	10.76
EEG044	-1.92	3.09	12.34
EEG045	-2.09	0.49	12.97
EEG046	-2.25	-2.27	12.80
EEG047	-2.76	-4.66	11.10
EEG048	-3.16	-6.08	8.64
EEG049	-3.51	-6.21	5.82
EEG050	-4.26	-6.11	2.62
EEG051	-6.01	5.85	3.39
EEG052	-5.34	6.29	6.18
EEG053	-5.06	5.83	8.37
EEG054	-4.54	4.83	10.36
EEG055	-4.74	2.80	11.50
EEG056	-4.85	0.54	11.94
EEG057	-4.85	-1.95	11.80
EEG058	-5.23	-3.59	10.65
EEG059	-5.60	-4.77	8.78
EEG060	-5.84	-5.30	6.60
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-6.16	-5.10	3.63
EEG066	-7.39	4.97	6.94
EEG067	-6.77	3.59	9.42
EEG068	-6.83	0.79	10.09
EEG069	-6.91	-2.28	9.77
EEG070	-7.63	-3.70	7.21
EEG071	-8.33	3.09	7.52
EEG072	-8.68	0.68	7.63
EEG073	-8.33	-1.86	7.59
EEG074	-9.66	0.82	4.67
