1	7.3	120.4	163.5
2	7.6	107.1	165.1
3	8.1	98.3	170
4	8.7	96.5	179.6
5	8.7	103	-170.4
6	9.4	85.7	-169
7	9.6	80	180
8	9.3	82	169
9	8.6	88	162
10	7.5	102	155
11	7.7	101	144
12	8.9	86	148
13	9.8	73	156
14	10.6	65	167
15	10.6	63	-179.9
16	10.1	68.4	-164
17	9.4	84	-156
18	8.9	102	-156
19	8.3	120	-162.4
20	8.5	114.1	-143.5
21	9.1	94	-141
22	9.7	72	-143
23	10.5	59	-149
24	11.1	49	-159
25	11.5	45	-173.5
26	11.5	46	165
27	11.1	54.5	149
28	10.6	66	139
29	10.1	78.8	134
30	9.5	93.7	130
31	10.5	92.1	116.5
32	10.8	78	118.5
33	11.3	64.6	122
34	11.6	49.5	129.5
35	11.9	39	141
36	12.4	30	160
37	12.6	29	-169.4
38	12.2	35	-150
39	11.9	45.3	-134
40	11.3	59	-126
41	10.6	73	-122
42	9.7	89.4	-122
43	8.9	107.3	-121.4
44	9.5	103.8	-104.5
45	9.9	85.2	-104.2
46	10.9	68.2	-105
47	11.9	51.7	-107
48	12.2	36	-114
49	12.5	22	-130
50	12.8	15	-157
51	12.8	18	144
52	12.5	26	125
53	12.5	37	114
54	12.3	51	108
55	12	62.8	106
56	11.5	77	104
57	11.2	91	103
58	11.4	91	90
59	11.9	76.5	90
60	12.3	53	90
61	12.5	40	90
62	12.6	26	90
63	12.7	12.5	90
64	12.7	12.5	-90
65	12.5	27	-90
66	12.1	42	-90
67	11.5	58	-90
68	10.7	77.4	-90
69	9.6	98.3	-90
70	9.5	103.8	-75.6
71	9.9	85.2	-75.8
72	10.9	68.3	-75
73	11.9	51.7	-73
74	12.2	36	-66
75	12	22	-50
76	12.8	15	-23
77	12.8	18	36
78	12.5	26	55
79	12.5	37	66
80	12.3	51	72
81	12	62.8	74
82	11.5	77	76
83	11.2	91	77
84	10.6	101	77
85	9.8	102.5	63.8
86	10.5	92.1	63.5
87	10.8	78	61.5
88	11.3	64.6	58
89	11.6	49.5	50.5
90	11.9	39	39
91	12.4	30	20
92	12.6	29	-10.6
93	12.2	35	-30
94	11.9	45.3	-46
95	11.3	59	-54
96	10.6	73	-58
97	9.7	89.4	-58
98	8.9	107.3	-58.6
99	8.5	114.1	-36.5
100	9.1	94	-39
101	9.7	72	-37
102	10.5	59	-31
103	11.1	49	-21
104	11.5	45	-6.5
105	11.5	46	15
106	11.1	54.5	31
107	10.6	66	41
108	10.1	78.8	46
109	9.5	93.7	50
110	8.6	104	51.8
111	7.7	101	36
112	8.9	86	32
113	9.8	73	24
114	10.6	65	13
115	10.6	63	-0.1
116	10.1	68.4	-16
117	9.4	84	-24
118	8.9	102	-24
119	8.3	120	-17.6
120	9.4	85.7	-11
121	9.6	80	0
122	9.3	82	11
123	8.6	88	18
124	7.3	120.4	16.5
125	7.6	107.1	14.9
126	8.1	98.3	10
127	8.7	96.5	0.4
128	8.7	103	-9.6
