name	x	y	z
EEG001	-7.31	4.19	3.84
EEG002	10.48	0.30	3.26
EEG003	-7.20	-4.12	3.30
EEG004	7.78	5.14	3.20
EEG005	9.39	3.37	5.69
EEG006	9.94	-0.00	6.91
EEG007	9.49	-3.18	5.93
EEG008	8.10	-4.73	3.13
EEG009	5.91	6.10	3.33
EEG010	6.80	5.53	5.61
EEG011	7.41	4.39	7.37
EEG012	7.79	2.32	8.85
EEG013	7.93	-0.11	9.30
EEG014	7.27	-2.45	9.11
EEG015	7.09	-4.31	7.66
EEG016	6.53	-5.46	5.57
EEG017	5.53	-6.10	3.24
EEG018	2.56	6.71	1.20
EEG019	3.37	6.89	3.73
EEG020	4.15	6.51	6.41
EEG021	4.66	5.03	8.88
EEG022	4.83	2.27	11.08
EEG023	4.90	-0.73	11.55
EEG024	4.30	-2.84	10.68
EEG025	4.00	-5.04	9.04
EEG026	3.60	-6.39	6.47
EEG027	3.04	-6.83	3.85
EEG028	2.58	-6.30	0.76
EEG029	0.72	6.99	1.58
EEG030	0.54	7.27	4.40
EEG031	1.27	6.73	7.49
EEG032	1.63	5.14	9.88
EEG033	1.89	2.54	11.49
EEG034	1.43	-0.20	12.40
EEG035	1.36	-2.94	11.63
EEG036	1.00	-5.24	10.01
EEG037	0.71	-6.75	7.43
EEG038	0.10	-7.11	4.36
EEG039	0.74	-6.30	1.01
EEG040	-3.11	6.73	2.29
EEG041	-2.32	7.09	5.19
EEG042	-1.65	6.57	8.33
EEG043	-1.22	5.04	10.63
EEG044	-1.19	2.87	12.22
EEG045	-1.77	-0.28	12.73
EEG046	-1.69	-3.10	12.06
EEG047	-1.95	-5.24	10.39
EEG048	-2.16	-6.71	7.98
EEG049	-2.96	-6.73	4.92
EEG050	-3.43	-6.71	1.96
EEG051	-5.40	5.95	3.24
EEG052	-4.66	6.25	6.32
EEG053	-4.45	5.67	8.60
EEG054	-4.35	4.40	10.45
EEG055	-4.04	2.28	11.85
EEG056	-4.62	-0.16	11.67
EEG057	-4.40	-2.78	11.27
EEG058	-4.63	-4.46	10.01
EEG059	-4.83	-5.72	7.85
EEG060	-4.92	-6.06	5.65
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-5.37	-5.46	2.74
EEG066	-6.72	4.64	6.86
EEG067	-6.35	2.79	9.45
EEG068	-6.73	0.06	9.75
EEG069	-6.69	-3.03	8.94
EEG070	-7.02	-4.30	6.46
EEG071	-7.82	2.71	7.18
EEG072	-8.01	0.06	6.88
EEG073	-7.93	-2.52	6.80
EEG074	-8.57	0.25	3.65
