name	x	y	z
EEG001	-7.22	5.02	2.95
EEG002	10.56	-0.07	3.91
EEG003	-7.61	-3.70	3.16
EEG004	7.52	5.11	3.06
EEG005	9.20	3.10	6.07
EEG006	9.58	-0.06	7.33
EEG007	9.16	-3.29	6.23
EEG008	7.90	-5.10	3.60
EEG009	5.81	5.91	3.50
EEG010	6.91	5.33	5.68
EEG011	7.31	4.19	7.56
EEG012	7.65	1.92	9.03
EEG013	7.83	-0.21	9.64
EEG014	7.55	-2.69	9.40
EEG015	6.94	-4.40	8.25
EEG016	6.37	-5.73	6.35
EEG017	5.33	-6.23	4.06
EEG018	2.89	7.00	0.79
EEG019	3.52	6.90	3.79
EEG020	4.25	6.34	6.46
EEG021	4.47	4.93	8.81
EEG022	4.79	2.41	10.15
EEG023	4.62	0.68	11.51
EEG024	4.50	-2.36	11.01
EEG025	4.23	-5.10	9.18
EEG026	3.57	-6.57	7.02
EEG027	2.73	-7.18	4.57
EEG028	2.42	-6.98	1.27
EEG029	0.89	7.19	1.02
EEG030	0.73	7.50	4.28
EEG031	1.39	6.91	7.52
EEG032	1.53	5.30	9.74
EEG033	1.84	3.41	11.32
EEG034	1.80	0.69	12.18
EEG035	1.23	-2.78	12.05
EEG036	1.05	-5.16	10.58
EEG037	0.62	-7.05	8.05
EEG038	-0.07	-7.51	4.73
EEG039	0.24	-7.45	1.22
EEG040	-3.01	7.25	1.77
EEG041	-2.14	7.55	4.88
EEG042	-1.81	7.36	8.04
EEG043	-1.31	5.76	10.31
EEG044	-1.20	3.37	12.07
EEG045	-1.98	0.37	12.91
EEG046	-1.76	-2.72	12.28
EEG047	-2.07	-5.09	10.79
EEG048	-2.24	-6.67	8.62
EEG049	-3.07	-6.75	5.27
EEG050	-3.86	-7.01	1.81
EEG051	-5.42	6.57	2.44
EEG052	-4.76	6.61	5.67
EEG053	-4.46	6.27	8.03
EEG054	-4.48	4.89	10.19
EEG055	-4.11	2.97	11.51
EEG056	-4.68	0.54	11.67
EEG057	-4.56	-2.07	11.48
EEG058	-4.78	-4.07	10.29
EEG059	-4.94	-5.25	8.06
EEG060	-5.23	-5.52	5.74
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-5.64	-5.53	2.78
EEG066	-6.57	5.28	6.14
EEG067	-6.66	3.75	8.65
EEG068	-6.95	0.44	9.33
EEG069	-6.84	-2.62	8.64
EEG070	-7.14	-3.78	6.33
EEG071	-8.07	3.33	6.55
EEG072	-8.57	0.67	6.43
EEG073	-8.40	-1.80	6.62
EEG074	-9.33	0.61	3.01
