onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
23.68763636	n/a	n/a	unfamiliar_new	n/a	u093.bmp	13	unfamiliar	faces	1	0	0
24.76218182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
26.86218182	n/a	n/a	scrambled_new	n/a	s116.bmp	17	scrambled	faces	1	0	0
27.80036364	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
30.02036364	n/a	n/a	scrambled_second_early	n/a	s116.bmp	18	scrambled	faces	2	1	3.1582
30.76490909	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
33.02581818	n/a	n/a	famous_new	n/a	f135.bmp	5	famous	faces	1	0	0
33.80218182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
36.31763636	n/a	n/a	unfamiliar_new	n/a	u092.bmp	13	unfamiliar	faces	1	0	0
36.834	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
39.40763636	n/a	n/a	unfamiliar_second_early	n/a	u092.bmp	14	unfamiliar	faces	2	1	3.09
39.99309091	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
42.61490909	n/a	n/a	scrambled_new	n/a	s063.bmp	17	scrambled	faces	1	0	0
43.37309091	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
45.78945455	n/a	n/a	unfamiliar_new	n/a	u014.bmp	13	unfamiliar	faces	1	0	0
46.40127273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
49.14672727	n/a	n/a	unfamiliar_second_late	n/a	u093.bmp	15	unfamiliar	faces	2	8	25.4591
49.90309091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
52.18763636	n/a	n/a	scrambled_new	n/a	s111.bmp	17	scrambled	faces	1	0	0
53.00672727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
55.47763636	n/a	n/a	scrambled_second_early	n/a	s111.bmp	18	scrambled	faces	2	1	3.29
56.28218182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
58.78581818	n/a	n/a	scrambled_new	n/a	s088.bmp	17	scrambled	faces	1	0	0
59.64036364	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
61.95945455	n/a	n/a	scrambled_second_early	n/a	s088.bmp	18	scrambled	faces	2	1	3.1736
62.76490909	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
65.06672727	n/a	n/a	famous_second_late	n/a	f135.bmp	7	famous	faces	2	10	32.0409
65.77490909	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
68.40763636	n/a	n/a	famous_new	n/a	f031.bmp	5	famous	faces	1	0	0
69.20581818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
71.63218182	n/a	n/a	famous_new	n/a	f111.bmp	5	famous	faces	1	0	0
72.14036364	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
74.82218182	n/a	n/a	famous_second_early	n/a	f111.bmp	6	famous	faces	2	1	3.19
75.48581818	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
77.97945455	n/a	n/a	scrambled_second_late	n/a	s063.bmp	19	scrambled	faces	2	11	35.3645
78.82672727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
81.13672727	n/a	n/a	unfamiliar_new	n/a	u055.bmp	13	unfamiliar	faces	1	0	0
81.76854545	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
84.37763636	n/a	n/a	unfamiliar_second_late	n/a	u014.bmp	15	unfamiliar	faces	2	12	38.5882
85.10945455	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
87.55218182	n/a	n/a	unfamiliar_new	n/a	u045.bmp	13	unfamiliar	faces	1	0	0
88.10309091	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
90.79309091	n/a	n/a	unfamiliar_second_early	n/a	u045.bmp	14	unfamiliar	faces	2	1	3.2409
91.43581818	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
93.83309091	n/a	n/a	famous_new	n/a	f148.bmp	5	famous	faces	1	0	0
94.58036364	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
96.89036364	n/a	n/a	famous_second_early	n/a	f148.bmp	6	famous	faces	2	1	3.0573
97.52036364	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
99.94672727	n/a	n/a	famous_new	n/a	f126.bmp	5	famous	faces	1	0	0
100.4976364	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
103.1712727	n/a	n/a	famous_second_late	n/a	f031.bmp	7	famous	faces	2	11	34.7636
103.7694545	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
106.3121818	n/a	n/a	unfamiliar_new	n/a	u097.bmp	13	unfamiliar	faces	1	0	0
107.0685455	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
109.3858182	n/a	n/a	unfamiliar_second_early	n/a	u097.bmp	14	unfamiliar	faces	2	1	3.0736
109.9303636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
112.5094545	n/a	n/a	scrambled_new	n/a	s146.bmp	17	scrambled	faces	1	0	0
113.3158182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
115.6667273	n/a	n/a	unfamiliar_second_late	n/a	u055.bmp	15	unfamiliar	faces	2	11	34.53
116.4158182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
118.8903636	n/a	n/a	unfamiliar_new	n/a	u101.bmp	13	unfamiliar	faces	1	0	0
119.384	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
122.2149091	n/a	n/a	famous_new	n/a	f106.bmp	5	famous	faces	1	0	0
122.7849091	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
125.4058182	n/a	n/a	famous_second_early	n/a	f106.bmp	6	famous	faces	2	1	3.1909
125.8367273	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
128.5130909	n/a	n/a	unfamiliar_new	n/a	u060.bmp	13	unfamiliar	faces	1	0	0
129.204	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
131.5367273	n/a	n/a	famous_second_late	n/a	f126.bmp	7	famous	faces	2	10	31.59
132.4494545	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
134.7776364	n/a	n/a	scrambled_new	n/a	s109.bmp	17	scrambled	faces	1	0	0
135.4976364	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
137.9512727	n/a	n/a	scrambled_second_early	n/a	s109.bmp	18	scrambled	faces	2	1	3.1736
138.4894545	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
141.0085455	n/a	n/a	scrambled_new	n/a	s096.bmp	17	scrambled	faces	1	0	0
141.7230909	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
144.1658182	n/a	n/a	scrambled_second_early	n/a	s096.bmp	18	scrambled	faces	2	1	3.1573
144.6730909	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
147.3058182	n/a	n/a	scrambled_second_late	n/a	s146.bmp	19	scrambled	faces	2	11	34.7964
148.1021818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
150.5803636	n/a	n/a	unfamiliar_new	n/a	u062.bmp	13	unfamiliar	faces	1	0	0
151.3612727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
153.8212727	n/a	n/a	unfamiliar_second_late	n/a	u101.bmp	15	unfamiliar	faces	2	11	34.9309
154.5667273	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
156.9458182	n/a	n/a	scrambled_new	n/a	s015.bmp	17	scrambled	faces	1	0	0
157.564	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
160.0858182	n/a	n/a	scrambled_new	n/a	s099.bmp	17	scrambled	faces	1	0	0
161.1476364	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
163.2767273	n/a	n/a	unfamiliar_second_late	n/a	u060.bmp	15	unfamiliar	faces	2	11	34.7636
164.1676364	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
166.4667273	n/a	n/a	scrambled_new	n/a	s135.bmp	17	scrambled	faces	1	0	0
167.5621818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
169.6912727	n/a	n/a	scrambled_second_early	n/a	s135.bmp	18	scrambled	faces	2	1	3.2245
170.5458182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
172.8149091	n/a	n/a	unfamiliar_new	n/a	u075.bmp	13	unfamiliar	faces	1	0	0
174.1158182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
176.0058182	n/a	n/a	scrambled_new	n/a	s033.bmp	17	scrambled	faces	1	0	0
176.814	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
179.2467273	n/a	n/a	unfamiliar_second_late	n/a	u062.bmp	15	unfamiliar	faces	2	9	28.6664
179.9458182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
182.504	n/a	n/a	unfamiliar_new	n/a	u148.bmp	13	unfamiliar	faces	1	0	0
183.7321818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
185.5612727	n/a	n/a	unfamiliar_second_early	n/a	u148.bmp	14	unfamiliar	faces	2	1	3.0573
186.3376364	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
