name	x	y	z
EEG001	-8.26	3.92	3.11
EEG002	11.25	0.04	4.38
EEG003	-8.16	-4.97	2.71
EEG004	8.35	5.22	4.62
EEG005	9.62	3.34	7.53
EEG006	10.59	-0.15	8.14
EEG007	9.67	-3.83	7.80
EEG008	8.80	-5.64	4.47
EEG009	5.85	6.40	4.80
EEG010	6.49	5.78	7.06
EEG011	6.76	4.53	9.21
EEG012	7.29	2.48	10.40
EEG013	7.93	-0.26	10.95
EEG014	7.60	-3.07	10.75
EEG015	7.03	-5.20	9.78
EEG016	6.69	-6.63	7.54
EEG017	5.92	-7.05	5.03
EEG018	2.08	7.15	1.71
EEG019	2.99	7.31	5.12
EEG020	3.47	6.64	8.16
EEG021	3.74	5.18	10.57
EEG022	4.24	2.72	12.19
EEG023	4.33	-0.36	13.19
EEG024	3.84	-3.46	12.67
EEG025	3.78	-6.00	11.01
EEG026	3.58	-7.65	8.57
EEG027	3.20	-7.91	5.52
EEG028	2.49	-7.72	1.96
EEG029	0.38	7.18	1.86
EEG030	-0.11	7.53	5.22
EEG031	0.17	7.33	8.90
EEG032	0.54	5.57	11.46
EEG033	0.75	2.82	13.15
EEG034	0.38	-0.32	14.25
EEG035	0.26	-3.60	13.66
EEG036	0.37	-6.64	11.87
EEG037	0.21	-8.51	9.12
EEG038	0.15	-8.54	5.67
EEG039	0.76	-7.82	2.22
EEG040	-4.02	6.69	2.47
EEG041	-3.27	7.16	5.78
EEG042	-3.03	6.88	9.24
EEG043	-2.76	5.21	11.82
EEG044	-2.77	2.81	13.36
EEG045	-2.99	-0.34	14.01
EEG046	-3.13	-3.74	13.66
EEG047	-3.05	-6.57	11.86
EEG048	-2.92	-8.28	9.27
EEG049	-2.88	-8.43	5.57
EEG050	-3.55	-7.79	2.20
EEG051	-6.32	5.54	2.85
EEG052	-5.89	6.23	6.17
EEG053	-6.00	5.54	8.85
EEG054	-5.70	4.20	11.13
EEG055	-5.89	2.13	12.20
EEG056	-6.43	-0.33	12.51
EEG057	-6.20	-3.15	12.32
EEG058	-6.21	-5.54	10.97
EEG059	-6.15	-7.03	8.75
EEG060	-5.82	-7.51	5.85
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-5.92	-6.92	2.56
EEG066	-8.16	4.45	6.51
EEG067	-8.58	2.53	9.19
EEG068	-8.88	-0.59	9.85
EEG069	-8.44	-4.11	9.39
EEG070	-8.07	-5.84	6.13
EEG071	-9.61	2.36	6.52
EEG072	-10.03	-0.61	6.47
EEG073	-9.62	-3.39	6.54
EEG074	-9.69	-0.35	2.94
