onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
24.09672727	n/a	n/a	unfamiliar_new	n/a	u107.bmp	13	unfamiliar	faces	1	0	0
24.75672727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
27.32036364	n/a	n/a	scrambled_new	n/a	s038.bmp	17	scrambled	faces	1	0	0
28.11763636	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
30.56218182	n/a	n/a	scrambled_new	n/a	s017.bmp	17	scrambled	faces	1	0	0
31.26127273	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
33.65218182	n/a	n/a	unfamiliar_new	n/a	u068.bmp	13	unfamiliar	faces	1	0	0
34.684	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
36.89309091	n/a	n/a	unfamiliar_second_early	n/a	u068.bmp	14	unfamiliar	faces	2	1	3.2409
37.69945455	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
40.15036364	n/a	n/a	unfamiliar_new	n/a	u119.bmp	13	unfamiliar	faces	1	0	0
40.84036364	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
43.35763636	n/a	n/a	scrambled_new	n/a	s102.bmp	17	scrambled	faces	1	0	0
44.54672727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
46.46490909	n/a	n/a	unfamiliar_second_late	n/a	u107.bmp	15	unfamiliar	faces	2	7	22.3682
47.18309091	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
49.55581818	n/a	n/a	scrambled_new	n/a	s073.bmp	17	scrambled	faces	1	0	0
50.44309091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
52.77945455	n/a	n/a	scrambled_second_early	n/a	s073.bmp	18	scrambled	faces	2	1	3.2236
53.41763636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
55.98672727	n/a	n/a	scrambled_second_late	n/a	s038.bmp	19	scrambled	faces	2	9	28.6664
56.624	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
59.07763636	n/a	n/a	famous_new	n/a	f034.bmp	5	famous	faces	1	0	0
59.80581818	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
62.38490909	n/a	n/a	famous_second_early	n/a	f034.bmp	6	famous	faces	2	1	3.3073
63.03309091	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
65.67581818	n/a	n/a	scrambled_second_late	n/a	s017.bmp	19	scrambled	faces	2	11	35.1136
66.45763636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
68.86672727	n/a	n/a	scrambled_new	n/a	s019.bmp	17	scrambled	faces	1	0	0
69.62581818	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
72.15763636	n/a	n/a	famous_new	n/a	f136.bmp	5	famous	faces	1	0	0
72.84309091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
