onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
26.11581818	n/a	n/a	scrambled_new	n/a	s080.bmp	17	scrambled	faces	1	0	0
27.014	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
29.28945455	n/a	n/a	unfamiliar_new	n/a	u053.bmp	13	unfamiliar	faces	1	0	0
30.40490909	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
32.29672727	n/a	n/a	unfamiliar_second_early	n/a	u053.bmp	14	unfamiliar	faces	2	1	3.0073
33.66945455	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
35.37036364	n/a	n/a	scrambled_new	n/a	s035.bmp	17	scrambled	faces	1	0	0
36.67127273	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
38.64490909	n/a	n/a	scrambled_new	n/a	s104.bmp	17	scrambled	faces	1	0	0
39.87309091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
41.96945455	n/a	n/a	scrambled_second_early	n/a	s104.bmp	18	scrambled	faces	2	1	3.3245
43.474	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
45.32672727	n/a	n/a	unfamiliar_new	n/a	u121.bmp	13	unfamiliar	faces	1	0	0
46.36036364	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
48.534	n/a	n/a	famous_new	n/a	f100.bmp	5	famous	faces	1	0	0
49.49581818	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
51.89218182	n/a	n/a	scrambled_second_late	n/a	s080.bmp	19	scrambled	faces	2	8	25.7764
52.74581818	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
55.13309091	n/a	n/a	famous_new	n/a	f140.bmp	5	famous	faces	1	0	0
56.354	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
58.35672727	n/a	n/a	unfamiliar_new	n/a	u126.bmp	13	unfamiliar	faces	1	0	0
59.15672727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
61.514	n/a	n/a	scrambled_second_late	n/a	s035.bmp	19	scrambled	faces	2	8	26.1436
62.60763636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
64.62127273	n/a	n/a	scrambled_new	n/a	s023.bmp	17	scrambled	faces	1	0	0
65.71309091	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
67.81218182	n/a	n/a	scrambled_second_early	n/a	s023.bmp	18	scrambled	faces	2	1	3.1909
68.96036364	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
71.11945455	n/a	n/a	scrambled_new	n/a	s088.bmp	17	scrambled	faces	1	0	0
72.30945455	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
74.32672727	n/a	n/a	scrambled_second_early	n/a	s088.bmp	18	scrambled	faces	2	1	3.2073
75.664	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
77.45036364	n/a	n/a	unfamiliar_second_late	n/a	u121.bmp	15	unfamiliar	faces	2	10	32.1236
78.68127273	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
80.69127273	n/a	n/a	unfamiliar_new	n/a	u045.bmp	13	unfamiliar	faces	1	0	0
81.71672727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
83.91581818	n/a	n/a	unfamiliar_second_early	n/a	u045.bmp	14	unfamiliar	faces	2	1	3.2245
84.81672727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
87.00581818	n/a	n/a	famous_second_late	n/a	f100.bmp	7	famous	faces	2	12	38.4718
87.95490909	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
90.28127273	n/a	n/a	scrambled_new	n/a	s090.bmp	17	scrambled	faces	1	0	0
91.44854545	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
93.48763636	n/a	n/a	famous_second_late	n/a	f140.bmp	7	famous	faces	2	12	38.3545
94.94309091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
96.62854545	n/a	n/a	unfamiliar_new	n/a	u038.bmp	13	unfamiliar	faces	1	0	0
97.59309091	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
99.83581818	n/a	n/a	unfamiliar_second_early	n/a	u038.bmp	14	unfamiliar	faces	2	1	3.2073
100.7258182	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
103.0094545	n/a	n/a	unfamiliar_second_late	n/a	u126.bmp	15	unfamiliar	faces	2	14	44.6527
103.784	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
106.2003636	n/a	n/a	famous_new	n/a	f088.bmp	5	famous	faces	1	0	0
107.1067273	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
109.4585455	n/a	n/a	famous_second_early	n/a	f088.bmp	6	famous	faces	2	1	3.2582
110.2512727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
112.5149091	n/a	n/a	unfamiliar_new	n/a	u104.bmp	13	unfamiliar	faces	1	0	0
113.6130909	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
115.6058182	n/a	n/a	unfamiliar_second_early	n/a	u104.bmp	14	unfamiliar	faces	2	1	3.0909
116.5194545	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
118.7958182	n/a	n/a	scrambled_new	n/a	s007.bmp	17	scrambled	faces	1	0	0
119.7330909	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
122.104	n/a	n/a	unfamiliar_new	n/a	u031.bmp	13	unfamiliar	faces	1	0	0
123.2312727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
