name	x	y	z
EEG001	-6.69	3.92	3.47
EEG002	10.29	0.20	3.56
EEG003	-6.99	-4.36	3.12
EEG004	8.05	4.78	3.56
EEG005	9.66	3.00	5.50
EEG006	10.26	-0.26	6.38
EEG007	9.82	-3.43	5.74
EEG008	8.45	-4.83	3.20
EEG009	5.84	5.76	3.49
EEG010	6.97	5.45	5.51
EEG011	7.66	4.23	7.39
EEG012	8.31	2.03	8.86
EEG013	8.57	-0.39	9.47
EEG014	7.93	-2.51	9.49
EEG015	7.57	-4.74	8.06
EEG016	6.95	-5.95	5.87
EEG017	5.57	-6.46	3.57
EEG018	2.51	6.37	1.35
EEG019	3.39	6.65	4.12
EEG020	4.46	6.34	6.82
EEG021	5.14	4.84	9.22
EEG022	5.72	2.57	10.81
EEG023	5.32	-0.04	11.88
EEG024	5.26	-3.21	11.19
EEG025	5.00	-5.58	9.55
EEG026	4.29	-7.06	6.81
EEG027	3.34	-7.31	4.09
EEG028	2.99	-6.84	1.09
EEG029	0.67	6.77	1.48
EEG030	0.76	7.18	4.75
EEG031	1.87	6.67	7.91
EEG032	2.44	5.10	10.43
EEG033	2.61	2.45	12.56
EEG034	2.35	-0.15	13.12
EEG035	2.43	-3.34	12.27
EEG036	1.90	-5.68	10.74
EEG037	1.34	-7.53	7.91
EEG038	0.57	-7.90	4.99
EEG039	0.97	-6.96	1.55
EEG040	-2.60	6.58	2.35
EEG041	-1.87	7.06	5.40
EEG042	-1.34	6.64	8.59
EEG043	-0.67	5.00	11.15
EEG044	-0.32	2.92	12.43
EEG045	-0.90	-0.09	13.38
EEG046	-0.56	-3.42	12.83
EEG047	-1.00	-5.93	11.19
EEG048	-1.37	-7.33	8.65
EEG049	-2.33	-7.50	5.45
EEG050	-2.59	-7.10	2.28
EEG051	-4.80	5.61	2.90
EEG052	-4.21	6.18	6.23
EEG053	-3.97	5.85	8.90
EEG054	-3.75	4.38	10.93
EEG055	-3.33	2.45	12.19
EEG056	-3.77	-0.12	12.41
EEG057	-3.45	-2.92	12.28
EEG058	-3.69	-4.95	11.03
EEG059	-3.99	-6.32	8.70
EEG060	-4.46	-6.63	6.09
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-4.74	-6.28	2.74
EEG066	-6.20	4.55	7.27
EEG067	-6.10	2.96	9.57
EEG068	-6.15	-0.25	10.03
EEG069	-5.99	-3.69	9.43
EEG070	-6.27	-5.08	6.75
EEG071	-7.52	2.62	7.25
EEG072	-7.90	-0.25	7.24
EEG073	-7.48	-2.99	7.21
EEG074	-8.17	-0.85	3.87
