onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
24.74945455	n/a	n/a	unfamiliar_new	n/a	u004.bmp	13	unfamiliar	faces	1	0	0
25.65945455	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
28.09036364	n/a	n/a	unfamiliar_second_early	n/a	u004.bmp	14	unfamiliar	faces	2	1	3.3409
28.87581818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
31.39763636	n/a	n/a	scrambled_new	n/a	s077.bmp	17	scrambled	faces	1	0	0
32.95763636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
34.53854545	n/a	n/a	scrambled_second_early	n/a	s077.bmp	18	scrambled	faces	2	1	3.1409
35.66672727	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
37.86309091	n/a	n/a	unfamiliar_new	n/a	u142.bmp	13	unfamiliar	faces	1	0	0
38.67763636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
41.18763636	n/a	n/a	unfamiliar_second_early	n/a	u142.bmp	14	unfamiliar	faces	2	1	3.3245
41.99854545	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
44.34490909	n/a	n/a	famous_new	n/a	f036.bmp	5	famous	faces	1	0	0
45.96581818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
47.50218182	n/a	n/a	scrambled_new	n/a	s062.bmp	17	scrambled	faces	1	0	0
48.50854545	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
50.72581818	n/a	n/a	unfamiliar_new	n/a	u094.bmp	13	unfamiliar	faces	1	0	0
51.81672727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
53.86672727	n/a	n/a	unfamiliar_new	n/a	u086.bmp	13	unfamiliar	faces	1	0	0
54.91127273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
57.05672727	n/a	n/a	unfamiliar_second_early	n/a	u086.bmp	14	unfamiliar	faces	2	1	3.19
57.86763636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
60.29763636	n/a	n/a	scrambled_new	n/a	s115.bmp	17	scrambled	faces	1	0	0
61.75945455	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
63.42218182	n/a	n/a	scrambled_new	n/a	s007.bmp	17	scrambled	faces	1	0	0
64.294	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
66.49581818	n/a	n/a	scrambled_second_early	n/a	s007.bmp	18	scrambled	faces	2	1	3.0736
67.12763636	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
69.76945455	n/a	n/a	famous_second_late	n/a	f036.bmp	7	famous	faces	2	8	25.4245
70.77581818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
72.944	n/a	n/a	unfamiliar_new	n/a	u008.bmp	13	unfamiliar	faces	1	0	0
73.77127273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
76.084	n/a	n/a	unfamiliar_second_early	n/a	u008.bmp	14	unfamiliar	faces	2	1	3.14
76.85763636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
79.25854545	n/a	n/a	scrambled_second_late	n/a	s062.bmp	19	scrambled	faces	2	10	31.7564
79.96036364	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
82.31581818	n/a	n/a	scrambled_new	n/a	s067.bmp	17	scrambled	faces	1	0	0
83.37763636	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
85.48945455	n/a	n/a	unfamiliar_second_late	n/a	u094.bmp	15	unfamiliar	faces	2	11	34.7636
86.63763636	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
88.73036364	n/a	n/a	scrambled_new	n/a	s104.bmp	17	scrambled	faces	1	0	0
89.55490909	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
92.00490909	n/a	n/a	scrambled_second_early	n/a	s104.bmp	18	scrambled	faces	2	1	3.2745
92.77854545	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
95.24490909	n/a	n/a	scrambled_new	n/a	s100.bmp	17	scrambled	faces	1	0	0
96.10490909	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
98.41945455	n/a	n/a	scrambled_second_early	n/a	s100.bmp	18	scrambled	faces	2	1	3.1745
99.23672727	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
101.4430909	n/a	n/a	scrambled_second_late	n/a	s115.bmp	19	scrambled	faces	2	13	41.1455
102.3258182	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
104.4494545	n/a	n/a	unfamiliar_new	n/a	u144.bmp	13	unfamiliar	faces	1	0	0
105.4776364	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
