name	x	y	z
EEG001	-6.73	4.21	3.04
EEG002	10.03	0.51	4.23
EEG003	-6.60	-3.97	2.99
EEG004	7.42	5.00	3.71
EEG005	8.14	3.53	6.69
EEG006	9.12	0.22	7.40
EEG007	8.52	-3.13	6.79
EEG008	7.96	-4.89	3.80
EEG009	5.61	6.14	3.78
EEG010	6.27	5.53	6.11
EEG011	6.61	4.19	7.81
EEG012	6.89	2.50	9.09
EEG013	7.43	0.27	9.44
EEG014	6.81	-2.14	9.41
EEG015	6.61	-4.16	8.04
EEG016	6.43	-5.47	6.07
EEG017	5.73	-6.13	3.76
EEG018	2.77	6.77	1.02
EEG019	3.16	6.87	3.74
EEG020	3.56	6.54	6.55
EEG021	3.88	5.08	8.85
EEG022	4.23	2.90	10.33
EEG023	4.50	0.05	11.09
EEG024	4.22	-2.65	10.71
EEG025	3.67	-4.91	9.18
EEG026	3.62	-6.48	6.96
EEG027	3.00	-7.04	4.14
EEG028	3.03	-7.94	1.37
EEG029	1.10	6.97	1.44
EEG030	0.46	7.24	4.11
EEG031	0.60	7.02	7.03
EEG032	1.07	5.43	9.66
EEG033	1.24	2.74	11.45
EEG034	1.53	0.03	11.99
EEG035	1.13	-2.64	11.44
EEG036	0.78	-5.22	9.95
EEG037	0.50	-7.05	7.21
EEG038	0.05	-7.40	4.36
EEG039	1.21	-7.17	1.73
EEG040	-2.63	6.82	1.88
EEG041	-2.35	6.87	4.98
EEG042	-2.24	6.68	7.94
EEG043	-1.89	5.53	10.11
EEG044	-1.99	3.01	11.84
EEG045	-1.72	0.08	12.37
EEG046	-1.75	-2.66	11.97
EEG047	-1.98	-5.09	10.25
EEG048	-2.14	-6.64	7.73
EEG049	-2.34	-6.94	4.84
EEG050	-2.73	-6.65	2.07
EEG051	-4.86	5.55	2.61
EEG052	-4.56	6.00	5.56
EEG053	-4.61	5.82	7.58
EEG054	-4.30	4.58	9.72
EEG055	-4.51	2.53	10.91
EEG056	-4.47	0.14	11.36
EEG057	-4.36	-2.50	11.05
EEG058	-4.50	-3.99	9.70
EEG059	-4.71	-5.25	7.64
EEG060	-4.62	-5.69	5.40
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-4.53	-5.65	2.52
EEG066	-6.64	4.55	5.97
EEG067	-6.34	3.06	8.51
EEG068	-6.55	0.16	9.12
EEG069	-6.23	-2.85	8.52
EEG070	-6.41	-4.22	5.94
EEG071	-7.73	2.53	6.45
EEG072	-7.84	0.00	6.43
EEG073	-7.50	-2.44	6.36
EEG074	-8.26	0.10	3.33
