onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
24.57127273	n/a	n/a	famous_new	n/a	f024.bmp	5	famous	faces	1	0	0
25.60218182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
27.67763636	n/a	n/a	famous_second_early	n/a	f024.bmp	6	famous	faces	2	1	3.1064
28.69309091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
30.75127273	n/a	n/a	scrambled_new	n/a	s068.bmp	17	scrambled	faces	1	0	0
31.84672727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
33.89218182	n/a	n/a	scrambled_second_early	n/a	s068.bmp	18	scrambled	faces	2	1	3.1409
34.56763636	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
37.06581818	n/a	n/a	unfamiliar_new	n/a	u134.bmp	13	unfamiliar	faces	1	0	0
38.50672727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
40.18945455	n/a	n/a	unfamiliar_second_early	n/a	u134.bmp	14	unfamiliar	faces	2	1	3.1236
41.44309091	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
43.28036364	n/a	n/a	scrambled_new	n/a	s040.bmp	17	scrambled	faces	1	0	0
45.214	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
46.354	n/a	n/a	unfamiliar_new	n/a	u048.bmp	13	unfamiliar	faces	1	0	0
47.88854545	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
49.46036364	n/a	n/a	unfamiliar_second_early	n/a	u048.bmp	14	unfamiliar	faces	2	1	3.1064
50.80309091	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
52.65127273	n/a	n/a	scrambled_new	n/a	s103.bmp	17	scrambled	faces	1	0	0
54.074	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
55.87581818	n/a	n/a	scrambled_second_early	n/a	s103.bmp	18	scrambled	faces	2	1	3.2245
57.06945455	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
59.01581818	n/a	n/a	famous_new	n/a	f084.bmp	5	famous	faces	1	0	0
60.66036364	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
62.03945455	n/a	n/a	scrambled_new	n/a	s093.bmp	17	scrambled	faces	1	0	0
63.32672727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
65.23036364	n/a	n/a	famous_new	n/a	f075.bmp	5	famous	faces	1	0	0
66.54672727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
68.40490909	n/a	n/a	scrambled_second_late	n/a	s040.bmp	19	scrambled	faces	2	8	25.1245
70.11763636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
71.72854545	n/a	n/a	scrambled_new	n/a	s142.bmp	17	scrambled	faces	1	0	0
73.44036364	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
74.81945455	n/a	n/a	famous_new	n/a	f055.bmp	5	famous	faces	1	0	0
76.32036364	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
78.07672727	n/a	n/a	famous_second_early	n/a	f055.bmp	6	famous	faces	2	1	3.2573
79.45945455	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
81.134	n/a	n/a	scrambled_new	n/a	s116.bmp	17	scrambled	faces	1	0	0
82.59854545	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
84.34127273	n/a	n/a	scrambled_second_early	n/a	s116.bmp	18	scrambled	faces	2	1	3.2073
85.85763636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
87.61581818	n/a	n/a	famous_second_late	n/a	f084.bmp	7	famous	faces	2	9	28.6
88.85127273	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
90.77309091	n/a	n/a	scrambled_new	n/a	s019.bmp	17	scrambled	faces	1	0	0
91.87218182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
93.96309091	n/a	n/a	scrambled_second_early	n/a	s019.bmp	18	scrambled	faces	2	1	3.19
95.23036364	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
97.13763636	n/a	n/a	scrambled_second_late	n/a	s093.bmp	19	scrambled	faces	2	11	35.0982
98.46309091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
100.2949091	n/a	n/a	scrambled_new	n/a	s034.bmp	17	scrambled	faces	1	0	0
101.4821818	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
103.4685455	n/a	n/a	famous_second_late	n/a	f075.bmp	7	famous	faces	2	12	38.2382
104.6294545	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
106.6930909	n/a	n/a	famous_new	n/a	f037.bmp	5	famous	faces	1	0	0
108.4330909	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
109.8667273	n/a	n/a	famous_second_early	n/a	f037.bmp	6	famous	faces	2	1	3.1736
111.3121818	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
113.124	n/a	n/a	scrambled_second_late	n/a	s142.bmp	19	scrambled	faces	2	13	41.3955
114.4376364	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
116.2649091	n/a	n/a	famous_new	n/a	f104.bmp	5	famous	faces	1	0	0
117.5567273	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
119.3885455	n/a	n/a	scrambled_new	n/a	s074.bmp	17	scrambled	faces	1	0	0
120.9012727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
122.6294545	n/a	n/a	scrambled_second_early	n/a	s074.bmp	18	scrambled	faces	2	1	3.2409
123.6930909	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
125.8703636	n/a	n/a	unfamiliar_new	n/a	u030.bmp	13	unfamiliar	faces	1	0	0
126.9630909	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
128.9603636	n/a	n/a	unfamiliar_new	n/a	u009.bmp	13	unfamiliar	faces	1	0	0
130.5830909	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
132.0176364	n/a	n/a	scrambled_second_late	n/a	s034.bmp	19	scrambled	faces	2	10	31.7227
133.3685455	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
135.1585455	n/a	n/a	famous_new	n/a	f047.bmp	5	famous	faces	1	0	0
136.3212727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
138.3494545	n/a	n/a	famous_new	n/a	f109.bmp	5	famous	faces	1	0	0
139.6176364	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
141.3730909	n/a	n/a	famous_second_early	n/a	f109.bmp	6	famous	faces	2	1	3.0236
142.8503636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
144.5967273	n/a	n/a	famous_second_late	n/a	f104.bmp	7	famous	faces	2	9	28.3318
146.4467273	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
147.804	n/a	n/a	famous_new	n/a	f135.bmp	5	famous	faces	1	0	0
149.3703636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
151.0449091	n/a	n/a	unfamiliar_new	n/a	u101.bmp	13	unfamiliar	faces	1	0	0
152.3258182	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
154.2694545	n/a	n/a	unfamiliar_second_late	n/a	u030.bmp	15	unfamiliar	faces	2	9	28.3991
155.5694545	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
157.3430909	n/a	n/a	unfamiliar_new	n/a	u141.bmp	13	unfamiliar	faces	1	0	0
159.1321818	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
160.5167273	n/a	n/a	unfamiliar_second_late	n/a	u009.bmp	15	unfamiliar	faces	2	10	31.5564
162.0112727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
163.5567273	n/a	n/a	scrambled_new	n/a	s054.bmp	17	scrambled	faces	1	0	0
165.2485455	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
166.664	n/a	n/a	scrambled_second_early	n/a	s054.bmp	18	scrambled	faces	2	1	3.1073
167.9885455	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
169.7549091	n/a	n/a	famous_second_late	n/a	f047.bmp	7	famous	faces	2	11	34.5964
171.1958182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
173.0458182	n/a	n/a	unfamiliar_new	n/a	u068.bmp	13	unfamiliar	faces	1	0	0
174.6685455	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
176.2376364	n/a	n/a	unfamiliar_second_early	n/a	u068.bmp	14	unfamiliar	faces	2	1	3.1918
177.8385455	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
179.4267273	n/a	n/a	unfamiliar_new	n/a	u044.bmp	13	unfamiliar	faces	1	0	0
180.6749091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
182.434	n/a	n/a	famous_second_late	n/a	f135.bmp	7	famous	faces	2	11	34.63
183.7558182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
185.5576364	n/a	n/a	scrambled_new	n/a	s117.bmp	17	scrambled	faces	1	0	0
186.9667273	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
188.6149091	n/a	n/a	unfamiliar_second_late	n/a	u101.bmp	15	unfamiliar	faces	2	12	37.57
189.9167273	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
191.7385455	n/a	n/a	unfamiliar_new	n/a	u096.bmp	13	unfamiliar	faces	1	0	0
193.1903636	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
194.7621818	n/a	n/a	unfamiliar_second_early	n/a	u096.bmp	14	unfamiliar	faces	2	1	3.0236
196.0585455	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
198.0530909	n/a	n/a	unfamiliar_second_late	n/a	u141.bmp	15	unfamiliar	faces	2	13	40.71
199.3358182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
201.244	n/a	n/a	scrambled_new	n/a	s059.bmp	17	scrambled	faces	1	0	0
202.6121818	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
204.4349091	n/a	n/a	scrambled_second_early	n/a	s059.bmp	18	scrambled	faces	2	1	3.1909
205.5485455	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
207.5085455	n/a	n/a	unfamiliar_new	n/a	u043.bmp	13	unfamiliar	faces	1	0	0
208.8058182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
210.7830909	n/a	n/a	unfamiliar_second_early	n/a	u043.bmp	14	unfamiliar	faces	2	1	3.2745
212.1049091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
213.9730909	n/a	n/a	scrambled_new	n/a	s044.bmp	17	scrambled	faces	1	0	0
215.2294545	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
217.0303636	n/a	n/a	unfamiliar_second_late	n/a	u044.bmp	15	unfamiliar	faces	2	12	37.6036
218.2412727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
220.2376364	n/a	n/a	unfamiliar_new	n/a	u077.bmp	13	unfamiliar	faces	1	0	0
221.9458182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
223.4630909	n/a	n/a	scrambled_second_late	n/a	s117.bmp	19	scrambled	faces	2	12	37.9055
