name	x	y	z
EEG001	-7.38	5.19	2.78
EEG002	10.51	-0.23	4.90
EEG003	-7.82	-3.35	2.55
EEG004	8.00	5.34	4.52
EEG005	8.97	2.77	7.37
EEG006	9.47	-0.24	8.50
EEG007	8.90	-3.58	7.38
EEG008	8.01	-5.40	4.52
EEG009	6.22	6.29	4.69
EEG010	6.84	5.30	6.78
EEG011	6.99	3.91	8.61
EEG012	7.21	1.93	10.17
EEG013	7.21	-0.46	10.90
EEG014	6.27	-2.52	10.73
EEG015	6.30	-4.65	9.11
EEG016	6.07	-5.89	7.03
EEG017	5.24	-6.53	4.48
EEG018	2.95	7.44	1.51
EEG019	3.46	7.46	4.58
EEG020	3.97	6.57	7.57
EEG021	3.94	4.90	9.98
EEG022	3.94	2.75	11.75
EEG023	3.61	0.10	12.75
EEG024	3.09	-2.95	12.01
EEG025	3.26	-5.36	10.16
EEG026	3.14	-6.79	7.57
EEG027	2.60	-7.17	4.91
EEG028	2.76	-6.84	1.51
EEG029	1.22	7.40	1.61
EEG030	0.65	7.89	4.95
EEG031	0.98	7.27	8.17
EEG032	0.76	5.81	10.78
EEG033	0.84	3.26	12.76
EEG034	0.18	0.25	13.66
EEG035	0.20	-3.03	12.81
EEG036	0.08	-5.44	11.23
EEG037	-0.15	-6.99	8.18
EEG038	-0.33	-7.32	4.88
EEG039	0.35	-7.10	1.21
EEG040	-3.01	7.35	2.00
EEG041	-2.65	7.59	5.31
EEG042	-2.55	7.24	8.58
EEG043	-2.51	5.80	11.27
EEG044	-2.51	3.28	12.87
EEG045	-3.25	0.49	13.58
EEG046	-3.05	-2.66	12.79
EEG047	-3.14	-5.19	10.79
EEG048	-2.95	-6.35	8.28
EEG049	-3.43	-6.64	4.94
EEG050	-3.90	-6.59	1.91
EEG051	-5.36	6.60	2.50
EEG052	-5.00	7.00	5.85
EEG053	-5.09	6.64	8.31
EEG054	-5.34	5.30	10.42
EEG055	-5.51	3.35	11.93
EEG056	-6.22	0.69	11.90
EEG057	-5.78	-1.89	11.35
EEG058	-5.91	-3.66	9.86
EEG059	-5.75	-4.82	7.80
EEG060	-5.92	-5.20	5.42
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-5.91	-5.39	2.30
EEG066	-7.19	5.70	6.23
EEG067	-7.45	4.04	8.70
EEG068	-8.06	0.93	9.24
EEG069	-7.81	-2.08	8.41
EEG070	-7.73	-3.43	5.93
EEG071	-8.74	3.80	6.41
EEG072	-9.27	1.26	6.15
EEG073	-8.94	-1.26	6.39
EEG074	-9.21	1.08	2.62
