name	x	y	z
EEG001	-7.73	3.89	4.79
EEG002	9.74	-0.06	3.91
EEG003	-7.74	-4.35	4.46
EEG004	7.04	5.04	4.25
EEG005	7.88	3.03	6.92
EEG006	8.79	-0.17	7.18
EEG007	8.19	-3.54	6.52
EEG008	7.42	-5.30	3.59
EEG009	5.05	6.15	4.65
EEG010	5.93	5.20	6.63
EEG011	6.30	3.74	8.14
EEG012	6.62	1.92	9.29
EEG013	6.95	-0.52	9.33
EEG014	6.74	-2.81	8.76
EEG015	6.35	-4.79	7.51
EEG016	6.13	-5.71	5.67
EEG017	5.26	-6.31	3.67
EEG018	1.80	7.44	2.06
EEG019	2.42	6.87	4.90
EEG020	3.16	6.11	7.59
EEG021	3.73	4.44	9.36
EEG022	4.28	2.17	10.65
EEG023	4.45	-0.78	10.84
EEG024	4.30	-3.36	10.08
EEG025	3.53	-5.25	9.19
EEG026	3.18	-6.63	6.80
EEG027	2.32	-7.11	4.25
EEG028	1.98	-7.11	1.90
EEG029	0.49	7.13	2.46
EEG030	-0.14	7.04	5.22
EEG031	0.55	6.54	8.04
EEG032	1.28	4.75	10.21
EEG033	1.58	2.30	11.81
EEG034	1.64	-0.49	12.08
EEG035	1.37	-3.18	11.63
EEG036	0.76	-5.62	9.88
EEG037	0.14	-6.96	7.41
EEG038	-0.79	-7.33	4.63
EEG039	0.08	-7.25	1.93
EEG040	-3.55	6.42	3.12
EEG041	-2.87	6.46	6.07
EEG042	-2.04	5.99	8.74
EEG043	-1.34	4.43	10.78
EEG044	-1.15	2.27	12.17
EEG045	-1.12	-0.48	12.39
EEG046	-1.27	-2.91	12.08
EEG047	-1.91	-5.18	10.45
EEG048	-2.45	-6.44	8.14
EEG049	-3.11	-6.66	5.31
EEG050	-3.94	-6.64	2.48
EEG051	-5.67	5.54	4.05
EEG052	-4.91	5.66	6.88
EEG053	-4.39	5.08	8.73
EEG054	-3.81	3.85	10.57
EEG055	-3.82	1.93	11.47
EEG056	-3.72	-0.69	11.77
EEG057	-3.74	-2.92	11.51
EEG058	-4.22	-4.27	10.19
EEG059	-4.67	-5.40	8.27
EEG060	-5.01	-5.92	6.21
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-5.90	-5.65	3.42
EEG066	-6.70	4.11	7.45
EEG067	-5.99	2.64	9.54
EEG068	-6.05	-0.15	10.26
EEG069	-5.90	-3.29	9.53
EEG070	-6.64	-4.63	6.98
EEG071	-7.58	2.35	7.96
EEG072	-7.99	-0.14	7.90
EEG073	-7.58	-2.69	7.72
EEG074	-8.96	-0.14	5.10
