onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
23.744	n/a	n/a	unfamiliar_new	n/a	u085.bmp	13	unfamiliar	faces	1	0	0
24.68763636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
26.884	n/a	n/a	unfamiliar_new	n/a	u064.bmp	13	unfamiliar	faces	1	0	0
27.55854545	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
30.05854545	n/a	n/a	unfamiliar_second_early	n/a	u064.bmp	14	unfamiliar	faces	2	1	3.1745
30.52763636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
33.18218182	n/a	n/a	scrambled_new	n/a	s107.bmp	17	scrambled	faces	1	0	0
34.03763636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
36.33945455	n/a	n/a	famous_new	n/a	f099.bmp	5	famous	faces	1	0	0
37.43763636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
39.53036364	n/a	n/a	scrambled_new	n/a	s139.bmp	17	scrambled	faces	1	0	0
40.45945455	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
42.62036364	n/a	n/a	scrambled_second_early	n/a	s139.bmp	18	scrambled	faces	2	1	3.09
43.394	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
45.82763636	n/a	n/a	unfamiliar_new	n/a	u049.bmp	13	unfamiliar	faces	1	0	0
46.80127273	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
49.05218182	n/a	n/a	unfamiliar_second_early	n/a	u049.bmp	14	unfamiliar	faces	2	1	3.2245
49.62672727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
52.25945455	n/a	n/a	unfamiliar_second_late	n/a	u085.bmp	15	unfamiliar	faces	2	9	28.5155
53.01854545	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
